,price,house_size
0,105000.0,920.0
1,80000.0,1527.0
2,67000.0,748.0
3,145000.0,1800.0
5,179000.0,2520.0
6,50000.0,2040.0
7,71600.0,1050.0
8,100000.0,1092.0
9,300000.0,5403.0
10,89000.0,1106.0
11,150000.0,1045.0
12,155000.0,4161.0
13,79000.0,1620.0
14,649000.0,2677.0
15,120000.0,1100.0
16,235000.0,3450.0
17,105000.0,1500.0
18,575000.0,4000.0
19,140000.0,1230.0
20,50000.0,621.0
21,165000.0,3000.0
22,189000.0,1213.0
24,122500.0,1118.0
25,255000.0,1500.0
26,425000.0,3000.0
27,93000.0,1300.0
28,75000.0,1080.0
29,469000.0,2505.0
30,189000.0,1943.0
31,225000.0,1600.0
32,495000.0,2886.0
33,220000.0,850.0
34,70500.0,936.0
35,305000.0,1928.0
36,475000.0,3690.0
37,195000.0,2500.0
38,120000.0,1800.0
39,650000.0,3709.0
40,555000.0,3100.0
41,3900000.0,9297.0
44,95000.0,600.0
45,74000.0,900.0
46,139500.0,3000.0
47,149900.0,2100.0
48,180000.0,1138.0
49,249000.0,1380.0
50,252000.0,2500.0
52,90000.0,813.0
53,500000.0,2962.0
54,339000.0,1955.0
55,265000.0,1200.0
56,10000000.0,6000.0
57,389000.0,1880.0
58,575000.0,2500.0
64,375000.0,2775.0
69,1399000.0,5517.0
70,600000.0,2400.0
85,215000.0,2070.0
86,63000.0,1184.0
87,215000.0,1900.0
88,115000.0,980.0
89,99000.0,1408.0
90,850000.0,8460.0
91,140000.0,1116.0
92,499000.0,3734.0
93,180000.0,1500.0
94,225900.0,2618.0
95,260000.0,1760.0
97,500000.0,2950.0
98,225000.0,1565.0
100,425000.0,3468.0
101,300000.0,547.0
103,290000.0,2280.0
104,550000.0,4020.0
105,234900.0,2035.0
114,620000.0,3267.0
115,649900.0,3700.0
127,98000.0,2156.0
128,55000.0,2156.0
129,75000.0,1563.0
130,80000.0,915.0
133,125000.0,2000.0
134,95000.0,1393.0
136,330000.0,1620.0
137,115000.0,1760.0
138,285000.0,1000.0
141,215000.0,2200.0
143,140000.0,1200.0
145,250000.0,3052.0
146,70000.0,894.0
147,190000.0,1600.0
151,150000.0,363.0
152,750000.0,4800.0
154,950000.0,3852.0
155,1200000.0,6000.0
156,495000.0,6500.0
157,90000.0,778.0
158,395000.0,2800.0
174,149900.0,1687.0
176,106000.0,826.0
177,165000.0,2327.0
194,450000.0,4000.0
202,485000.0,3066.0
210,1800000.0,10000.0
211,975000.0,3739.0
217,950000.0,2450.0
225,475000.0,10000.0
226,200000.0,3413.0
228,148000.0,2058.0
229,39500.0,800.0
230,220000.0,2900.0
231,75000.0,1100.0
232,110000.0,1000.0
233,150000.0,800.0
235,79000.0,2472.0
236,65000.0,1044.0
237,179000.0,2200.0
238,145000.0,3500.0
239,79000.0,1262.0
240,360000.0,6000.0
244,94600.0,1009.0
246,239000.0,2715.0
247,279000.0,2872.0
248,100000.0,1028.0
250,168000.0,1600.0
251,150000.0,1604.0
253,140000.0,1500.0
254,70000.0,680.0
255,80000.0,750.0
256,135000.0,1500.0
257,215000.0,2183.0
260,138000.0,1000.0
261,289000.0,2832.0
262,132000.0,1000.0
263,197000.0,1500.0
269,185000.0,1700.0
271,200000.0,3400.0
276,210000.0,2500.0
279,105000.0,921.0
280,113600.0,800.0
284,174900.0,1195.0
289,134000.0,895.0
290,245000.0,2038.0
291,161000.0,1100.0
293,290000.0,2236.0
294,375000.0,2961.0
296,425000.0,2400.0
297,1100000.0,3000.0
299,418000.0,3650.0
300,365000.0,2366.0
305,95000.0,1757.0
307,49900.0,1150.0
310,90000.0,955.0
312,111000.0,1015.0
313,114400.0,1105.0
314,113500.0,955.0
315,59200.0,700.0
316,63800.0,950.0
317,45000.0,1000.0
319,55000.0,800.0
321,100000.0,1400.0
323,80000.0,1500.0
324,55000.0,1500.0
327,157500.0,1650.0
329,2000000.0,3500.0
334,3500000.0,2500.0
337,270000.0,2400.0
338,5000000.0,3500.0
340,172000.0,1880.0
343,65000.0,2600.0
344,1325000.0,2500.0
347,465000.0,2200.0
348,575000.0,1500.0
349,1100000.0,3500.0
350,550000.0,1800.0
351,895000.0,2490.0
353,635000.0,2100.0
358,134000.0,900.0
359,365000.0,2800.0
360,260000.0,2214.0
362,460000.0,3328.0
366,63000.0,1233.0
368,75000.0,1200.0
370,325000.0,4000.0
372,101800.0,1000.0
375,25000.0,491.0
379,205000.0,976.0
381,135000.0,1163.0
383,104000.0,1175.0
384,275000.0,1200.0
407,100000.0,1044.0
408,75000.0,980.0
409,122000.0,1400.0
410,150000.0,936.0
411,325000.0,3089.0
412,130000.0,2064.0
413,139900.0,1242.0
415,395000.0,8368.0
417,375000.0,2700.0
422,385000.0,2069.0
426,600000.0,3192.0
428,1995000.0,10000.0
434,3000000.0,8000.0
449,70000.0,913.0
450,799000.0,2500.0
451,74500.0,917.0
456,70000.0,1120.0
461,85000.0,1500.0
468,69900.0,1326.0
483,330000.0,2111.0
495,69500.0,1460.0
496,135000.0,1500.0
497,74000.0,900.0
498,109000.0,1400.0
500,168100.0,1300.0
501,110000.0,800.0
553,130000.0,1290.0
554,300000.0,2852.0
555,54900.0,1898.0
556,250000.0,1275.0
602,89000.0,1000.0
603,275000.0,1820.0
604,65000.0,1100.0
605,225000.0,3344.0
606,98000.0,1100.0
607,55000.0,1092.0
608,65000.0,1100.0
614,106700.0,1205.0
615,180000.0,1251.0
616,550000.0,5000.0
617,70000.0,845.0
619,198500.0,1000.0
620,75000.0,950.0
621,219900.0,1100.0
622,95000.0,1700.0
623,99000.0,600.0
624,75000.0,781.0
626,600000.0,5000.0
627,120000.0,781.0
637,750000.0,2377.0
638,550000.0,2000.0
639,950000.0,2850.0
640,1150000.0,3500.0
642,5500000.0,2000.0
645,995000.0,2900.0
647,1275000.0,2900.0
648,1135000.0,2850.0
649,4995000.0,3100.0
656,2500000.0,3509.0
658,5950000.0,3200.0
659,2849000.0,5000.0
660,850000.0,999.0
661,6495000.0,6703.0
663,6350000.0,2500.0
665,300000.0,3090.0
666,5900000.0,3914.0
667,1775000.0,3337.0
668,1795000.0,2900.0
673,1500000.0,1942.0
674,3950000.0,4800.0
678,97900.0,1641.0
680,144900.0,1760.0
681,265000.0,2485.0
683,99000.0,800.0
685,95000.0,1100.0
686,245000.0,900.0
695,225000.0,2460.0
696,119000.0,1084.0
697,97000.0,1918.0
698,210000.0,1520.0
699,67600.0,921.0
700,102900.0,870.0
701,121000.0,1134.0
702,81000.0,1597.0
703,84900.0,1250.0
704,99000.0,2283.0
705,120000.0,1100.0
706,106000.0,1547.0
707,225000.0,1700.0
709,74000.0,980.0
710,85000.0,930.0
711,54000.0,905.0
713,65000.0,1025.0
714,126600.0,1004.0
716,349900.0,3953.0
717,99000.0,870.0
718,67000.0,1000.0
719,121500.0,1562.0
722,115000.0,875.0
725,295000.0,2625.0
727,299000.0,1700.0
728,250000.0,4036.0
738,195000.0,2000.0
739,200000.0,1895.0
742,95000.0,2914.0
744,295000.0,2000.0
746,128000.0,1100.0
749,195000.0,1800.0
769,147600.0,2673.0
770,109000.0,2760.0
771,73000.0,785.0
773,78000.0,1403.0
783,69000.0,1050.0
788,195000.0,1933.0
793,125000.0,1086.0
794,77000.0,1688.0
801,299900.0,2327.0
809,75200.0,1000.0
829,110000.0,1192.0
830,63000.0,1000.0
833,265000.0,3000.0
837,88000.0,934.0
839,102000.0,1025.0
853,30000.0,1066.0
854,77000.0,2110.0
855,154000.0,1708.0
859,157000.0,1473.0
862,60150.0,975.0
863,219000.0,1000.0
864,159900.0,1100.0
887,107000.0,1045.0
889,189900.0,1622.0
893,265000.0,2500.0
894,535000.0,2422.0
924,170000.0,1800.0
934,319000.0,3227.0
955,69900.0,1886.0
957,55000.0,750.0
959,132000.0,2500.0
965,77000.0,2392.0
973,95000.0,1070.0
977,59000.0,1173.0
978,100000.0,2000.0
981,95000.0,1591.0
982,114000.0,900.0
986,63000.0,1087.0
990,367500.0,3907.0
1076,425000.0,2711.0
1105,95600.0,816.0
1106,120000.0,1600.0
1107,1795000.0,3870.0
1108,1600000.0,2462.0
1115,819000.0,2381.0
1118,1200000.0,4850.0
1119,9995000.0,5500.0
1121,989000.0,2800.0
1122,83600.0,834.0
1124,8500000.0,5073.0
1127,7500000.0,4400.0
1130,825000.0,2800.0
1132,9200000.0,4414.0
1133,8995000.0,6398.0
1134,2500000.0,5000.0
1135,1500000.0,3015.0
1136,1700000.0,2900.0
1137,1300000.0,2900.0
1139,189500.0,1380.0
1141,5195000.0,3500.0
1142,245000.0,1820.0
1143,141000.0,1298.0
1146,2750000.0,4200.0
1151,2500000.0,4791.0
1152,97000.0,1200.0
1162,199000.0,2100.0
1170,389000.0,1500.0
1200,59000.0,960.0
1209,44000.0,1823.0
1210,170000.0,1475.0
1215,255200.0,2031.0
1227,109955.0,563.0
1240,35000.0,746.0
1241,174900.0,2500.0
1242,50300.0,962.0
1243,55000.0,1500.0
1244,42000.0,714.0
1245,50500.0,612.0
1246,40000.0,811.0
1249,90000.0,784.0
1251,150000.0,1050.0
1253,140000.0,1200.0
1254,105000.0,950.0
1255,75000.0,1503.0
1258,74300.0,850.0
1260,725000.0,2000.0
1261,425000.0,4387.0
1282,81000.0,3174.0
1284,105000.0,870.0
1286,120000.0,1578.0
1287,63000.0,1233.0
1291,130000.0,2002.0
1292,80000.0,900.0
1293,500000.0,2410.0
1294,339800.0,4200.0
1295,900000.0,4046.0
1325,69000.0,2250.0
1326,63000.0,803.0
1327,99000.0,1106.0
1328,84000.0,599.0
1331,34000.0,1500.0
1334,110000.0,900.0
1335,98000.0,1427.0
1337,85000.0,1300.0
1338,290000.0,2374.0
1340,375000.0,2400.0
1341,380000.0,3806.0
1342,350000.0,2482.0
1343,167000.0,1300.0
1344,131000.0,1460.0
1345,74900.0,1000.0
1350,260000.0,2100.0
1352,264900.0,2300.0
1353,365000.0,3515.0
1354,850000.0,1857.0
1355,335000.0,2268.0
1356,225000.0,2710.0
1371,99000.0,1858.0
1380,130000.0,1384.0
1389,380000.0,2000.0
1391,3799000.0,4500.0
1392,629000.0,3625.0
1394,425000.0,1000.0
1422,350000.0,1214.0
1436,599000.0,3000.0
1567,310000.0,3100.0
1666,125000.0,1080.0
1702,85000.0,2345.0
1704,55000.0,1035.0
1706,29900.0,1200.0
1711,70000.0,2417.0
1713,103000.0,2106.0
1717,254900.0,2500.0
1718,110000.0,951.0
1722,165000.0,1700.0
1744,100000.0,1694.0
1748,105000.0,6458.0
1750,170000.0,3080.0
1752,19900.0,595.0
1753,49300.0,800.0
1754,75500.0,832.0
1756,80000.0,1000.0
1757,175000.0,1211.0
1758,32000.0,770.0
1760,145000.0,1015.0
1766,70000.0,2092.0
1770,169000.0,1970.0
1778,300000.0,568.0
1786,115000.0,2329.0
1787,73700.0,945.0
1788,59000.0,959.0
1789,82000.0,1490.0
1790,96000.0,1928.0
1791,135000.0,1414.0
1792,57000.0,1009.0
1794,30000.0,896.0
1795,167000.0,1326.0
1796,43700.0,1130.0
1797,58000.0,784.0
1798,73300.0,1150.0
1799,75000.0,1900.0
1800,70500.0,750.0
1808,115000.0,800.0
1809,94000.0,996.0
1812,125400.0,954.0
1814,305000.0,1784.0
1816,98000.0,900.0
1820,99000.0,1093.0
1824,600000.0,2817.0
1827,120000.0,1600.0
1829,79000.0,1170.0
1830,67500.0,1000.0
1831,52000.0,800.0
1836,88000.0,1000.0
1838,94000.0,1512.0
1843,145000.0,1800.0
1844,205000.0,1335.0
1851,295000.0,2800.0
1861,240000.0,1889.0
1872,71000.0,824.0
1875,189000.0,2371.0
1876,62000.0,981.0
1877,65000.0,742.0
1880,125000.0,1103.0
1883,70000.0,620.0
1884,125000.0,1328.0
1892,1200000.0,7336.0
1897,268000.0,850.0
1900,270000.0,1626.0
1927,135000.0,1819.0
1935,80000.0,704.0
1985,105000.0,1372.0
2019,67000.0,683.0
2029,75000.0,1020.0
2040,59000.0,1166.0
2085,210000.0,1800.0
2087,113000.0,1123.0
2125,65000.0,939.0
2234,399000.0,1352.0
2236,545000.0,1729.0
2251,68000.0,840.0
2680,119500.0,1462.0
2765,100000.0,842.0
2774,170000.0,4544.0
2782,60000.0,700.0
2790,220000.0,2500.0
2793,260000.0,1458.0
2795,300000.0,1500.0
2796,599900.0,1671.0
2797,900000.0,4500.0
2805,975000.0,3739.0
2922,450000.0,2200.0
2924,600000.0,2700.0
2926,3100000.0,3000.0
2950,295000.0,1183.0
2963,295000.0,1183.0
2965,540000.0,2500.0
2975,2150000.0,6345.0
2991,260000.0,1164.0
2995,2500000.0,3154.0
3033,199900.0,2143.0
3034,143000.0,2130.0
3037,165000.0,2000.0
3038,320000.0,2081.0
3040,125000.0,2214.0
